lead_id,fecha_registro,canal,empresa_id,punto_venta_id,nombre_cliente,telefono,email,ciudad,modelo_interes_texto,estado_gestion,fecha_primer_contacto,campania
LD-00056,19/08/2026 06:16,Formulario Web,EMP-02,PV-009,  Natalia Giraldo Correa  ,(312) 110-1236,natalia.giraldo71@yahoo.es,SANTA MARTA,Suzuki Best 125,En proceso,20/08/2026 00:16,Feria de Motos 2026
LD-00057,2026-08-20 11:25:00,WhatsApp,EMP-02,PV-007,Estefanía Betancur Herrera,3046886479,,Soledad,bajaj boxer ct 100,sin gestion,,Retoma tu moto
LD-00058,05-08-2026,Formulario Web,EMP-03,PV-013,Erika Pérez Pérez,+57 351 0777593,erika.perez17@gmail.com,BOGOTA,V-Strom 250,En proceso,08/05/2026 06:00,
LD-00059,08/07/2026 00:04,Formulario Web,EMP-03,PV-012,Freddy Quintero Valencia,+57 316 0567437,,BOGOTA,Bajaj Pulsar RS 200,Cotización enviada,07/08/2026 18:04,
LD-00060,2026-08-17 18:23:00,WHATSAPP,EMP-02,PV-008,Estefanía Mosquera Osorio,(350) 452-3086,,CARTAGENA,AKT Dynamic R3 125,Contactado,08/18/2026 00:23,Agosto Cero Cuotas
LD-00061,2026-09-04 11:12:00,WhatsApp,EMP-01,PV-004,Camilo Vargas Correa,573149634001,camilo.vargas69@gmail.com,RIONEGRO,AKT NKD 125 2026,Cotización enviada,09/05/2026 17:12,
LD-00062,2026-09-02T04:00:00,Meta Ads,EMP-02,PV-006,Mónica Cardona Torres,3006279003,monica.cardona68@yahoo.es,barranquilla,Honda Navi,Cotización enviada,,Feria de Motos 2026
LD-00063,09/09/2026 09:51,Meta Ads,EMP-01,PV-001,Wilmar Salazar Herrera,+57 312 1972329,,MEDELLIN,BAJAJ DOMINAR 400,sin gestion,,Feria de Motos 2026
LD-00064,21/08/2026 23:15,WhatsApp,EMP-03,PV-012,Katherine Escobar Muñoz,3230031702,,BOGOTA,Bajaj Discover 125,Contactado,2026-08-22 01:15:00,Agosto Cero Cuotas
LD-00065,22-08-2026,Meta Ads,EMP-01,PV-003,Sebastián Castaño Valencia,(351) 816-0136,sebastian.castano29@gmail.com,BELLO,,Contactado,23-08-2026,Remate Modelos 2025
LD-00066,2026-08-30T01:45:00,WhatsApp,EMP-03,PV-011,Katherine Bedoya Hernández,3136468707,,Bogotá D.C.,,Sin gestión,,Agosto Cero Cuotas
LD-00067,16-08-2026,WhatsApp,EMP-02,PV-009,PAULA ANDREA RESTREPO HERRERA,3042964858,,Santa Marta,hero dash 110,Sin gestión,,Retoma tu moto
LD-00068,2026-08-19 15:45:00,WhatsApp,EMP-03,PV-014,Camilo Restrepo Correa,3015293564,camilo.restrepo17@gmail.com,Bogota,Bajaj Boxer CT 100,sin gestion,,Agosto Cero Cuotas
LD-00069,04/09/2026 15:12,WhatsApp,EMP-01,PV-004,Sandra Milena Cardona Hernández,3118685348,sandra.cardona91@outlook.com,Rio Negro,AKT Dynamic R3 125,Descartado,2026-09-07T15:12:00,Remate Modelos 2025
LD-00070,19/08/2026 17:54,Meta Ads,EMP-01,PV-003,Angie Paola Hernández Quintero,+57 350 7959623,,bello,Hero,SIN GESTION,,Feria de Motos 2026
LD-00071,05/08/2026 16:30,Formulario Web,EMP-02,PV-010,  Jorge Iván Giraldo Osorio  ,573117801877,jorge.giraldo40@outlook.com,MONTERIA,Evo RS 150,Contactado,2026-08-05T22:30:00,Agosto Cero Cuotas
LD-00072,2026-09-04 18:02:00,Meta Ads,EMP-02,PV-010,Alexander Rodríguez Ospina,3130651448,alexander.rodriguez30@hotmail.com,MONTERIA,Hnda CB 190R,Contactado,04/09/2026 22:02,Prima Extra
LD-00073,09/05/2026 15:44,WhatsApp,EMP-02,PV-009,Mónica Jiménez Cardona,304 493 6340,,Sta Marta,Bajai Dominar 400,No contesta,06-09-2026,
LD-00074,2026-09-03 06:04:00,META ADS,EMP-01,PV-002,Óscar David Quintero Jiménez,(302) 015-7534,,ITAGUI,Hnda CB 190R,No contesta,07-09-2026,Feria de Motos 2026
LD-00075,20-08-2026,Meta Ads,EMP-01,PV-002,Yesenia Correa Jiménez,573216422224,,Itagüí,AKT DYNAMIC R3 125,Cotización enviada,21/08/2026 10:37,
LD-00076,2026-08-21 21:33:00,Meta Ads,EMP-02,PV-009,  Freddy Arias Herrera  ,+57 322 1743999,freddy.arias63@gmail.com,SANTA MARTA,bajaj pulsar rs 200,Contactado,2026-08-21 22:33:00,
LD-00077,05/08/2026 14:24,WhatsApp,EMP-01,PV-004,Liliana Herrera Franco,3006710880,,Rionegro,,contactado,08/06/2026 14:24,Remate Modelos 2025
LD-00078,09-09-2026,Meta Ads,EMP-01,PV-002,LUZ MARINA GIRALDO MUÑOZ,573029634101,luz.giraldo81@outlook.com,Itagüí,Bajaj Dominar 400 2026,No contesta,2026-09-09T23:43:00,Feria de Motos 2026
LD-00079,26/08/2026 06:11,formulario web,EMP-01,PV-003,  Brayan Londoño Marín  ,(310) 888-7605,,BELLO,AKT Evo,Contactado,27-08-2026,Feria de Motos 2026
LD-00080,21/08/2026 06:48,Meta Ads,EMP-02,PV-006,Yuliana Salazar Salazar,(314) 929-9189,,,AKT TTR 200 2026,No contesta,2026-08-25T06:48:00,Retoma tu moto
LD-00081,24-08-2026,WhatsApp,EMP-01,PV-005,CAMILO ZAPATA HERRERA,3151882416,,MEDELLIN,AKT Evo,No contesta,2026-08-24 18:23:00,Remate Modelos 2025
LD-00082,09/07/2026 15:09,WhatsApp,EMP-02,PV-010,  Adriana Escobar Cardona  ,316-068-9950,,Monteria,Suzuki  V-Strom 250,No contesta,09/08/2026 03:09,Agosto Cero Cuotas
LD-00083,2026-09-02T02:17:00,WhatsApp,EMP-03,PV-015,Mónica Marín Pérez,+57 305 3996446,,SOACHA,Bajaj Boxer CT 100 2026,sin gestion,,Remate Modelos 2025
LD-00084,04-08-2026,meta ads,EMP-03,PV-014,NATALIA LONDOÑO HERRERA,573049256632,natalia.londono79@gmail.com,Bogotá,Bajai Pulsar RS 200,Sin gestión,,Retoma tu moto
LD-00085,02/08/2026 05:19,WhatsApp,EMP-03,PV-015,Juan Carlos Arias Osorio,573012127835,juan.arias98@hotmail.com,Soacha,AKT Dynamic R3 125,sin gestion,,
LD-00086,2026-08-30 02:24:00,WhatsApp,EMP-02,PV-006,CRISTIAN MUÑOZ FRANCO,310-612-5015,,barranquilla,Bajaj  Pulsar NS 160,Descartado,02-09-2026,Remate Modelos 2025
LD-00087,2026-08-02 17:39:00,Meta Ads,EMP-03,PV-011,VANESSA TORRES CARDONA,304 323 8696,,Bogota,Bajaj,no contesta,03-08-2026,Prima Extra
LD-00088,2026-09-03T01:33:00,WhatsApp,EMP-02,PV-010,Camilo Marín Valencia,315 648 4992,camilo.marin61@yahoo.es,Montería,Honda Dio 110,Descartado,,Prima Extra
LD-00089,2026-09-08 22:08:00,Formulario Web,EMP-01,PV-002,Leidy Johana Castaño Restrepo,+57 320 2440100,leidy.castano7@yahoo.es,Itagui,hero hunk 160r,En proceso,2026-09-12T22:08:00,Agosto Cero Cuotas
LD-00090,06/08/2026 01:31,WhatsApp,EMP-01,PV-004,CARLOS MARIO OSORIO TORRES,+57 301 5238259,,Rio Negro,bajaj pulsar ns 160,No contesta,08/10/2026 01:31,Remate Modelos 2025
LD-00091,2026-08-06 08:37:00,Meta Ads,EMP-01,PV-004,  Natalia Zapata Marín  ,3142060957,natalia.zapata22@outlook.com,Rio Negro,AKT,En proceso,2026-08-06T20:37:00,Feria de Motos 2026
LD-00092,17-08-2026,WhatsApp,EMP-03,PV-012,  Marcela Bedoya Giraldo  ,313 048 7909,marcela.bedoya94@hotmail.com,Bogota,hero eco deluxe 100,no contesta,,
LD-00093,2026-08-31 06:54:00,WHATSAPP,EMP-02,PV-009,Vanessa Marín Pérez,+57 305 4818688,vanessa.marin45@hotmail.com,Sta Marta,Bajaj Discover 125 2026,Descartado,31-08-2026,Agosto Cero Cuotas
LD-00094,08/19/2026 19:00,WhatsApp,EMP-03,PV-011,  Natalia Agudelo Bedoya  , 3505619932 ,natalia.agudelo56@yahoo.es,Bogotá,Hero,Contactado,21-08-2026,Agosto Cero Cuotas
LD-00095,05/08/2026 09:20,Meta Ads,EMP-01,PV-004,Jorge Iván Giraldo Rodríguez,304 685 1337,,Rionegro,honda dio 110,Contactado,09-08-2026,
LD-00096,2026-08-10 06:33:00,FORMULARIO WEB,EMP-03,PV-014,Yesenia Cardona Ospina,3154712634,yesenia.cardona85@outlook.com,Bogota,Hero Eco Deluxe 100,Sin gestión,,
LD-00097,05/08/2026 13:28,WhatsApp,EMP-02,PV-008,Óscar David Gómez Londoño,3166992931,,Cartagena de Indias,AKT Evo RS 150,Cotización enviada,05/08/2026 17:28,
LD-00098,08/05/2026 10:25,WhatsApp,EMP-03,PV-012,  Kevin Herrera Castaño  ,3000913529,,bogotá,Honda Dio,En proceso,05-08-2026,Feria de Motos 2026
LD-00099,2026-08-07 03:44:00,Meta Ads,EMP-01,PV-003,DIANA CAROLINA CASTAÑO FRANCO,3158687596,diana.castano70@yahoo.es,bello,Bajaj,Descartado,2026-08-07T07:44:00,
LD-00100,2026-08-21T18:20:00,Meta Ads,EMP-02,PV-007,  Édinson Zapata Zapata  ,315 944 6851,edinson.zapata75@outlook.com,SOLEDAD,Honda XRE 300 2026,Cotización enviada,08/21/2026 22:20,Remate Modelos 2025
LD-00101,08/11/2026 09:53,WhatsApp,EMP-01,PV-002,Andrés Felipe Pérez Franco,310 764 4005,,ITAGUI,AKT NKD 125,Sin gestión,,Agosto Cero Cuotas
LD-00102,28-08-2026,whatsapp,EMP-02,PV-008,  Édinson Jiménez Zapata  ,+57 304 8073934,,Cartagena de Indias,suzuki gixxer 150,En proceso,08/29/2026 19:00,Agosto Cero Cuotas
LD-00103,16/08/2026 02:59,WhatsApp,EMP-03,PV-012,Luisa Pérez Herrera,573236256868,luisa.perez70@yahoo.es,bogotá,Bajaj  Pulsar RS 200,Cotización enviada,2026-08-16 04:59:00,Remate Modelos 2025
LD-00104,2026-08-07T01:17:00,whatsapp,EMP-02,PV-009,  Liliana Correa Osorio  ,+57 322 7857752,liliana.correa60@hotmail.com,Santa Marta,Bajaj Pulsar NS 125,Contactado,08/08/2026 01:17,Remate Modelos 2025
LD-00105,09/08/2026 14:20,whatsapp,EMP-03,PV-014,Yesenia Torres Escobar,3001215878,yesenia.torres96@gmail.com,bogotá,AKT EVO RS 150,En proceso,2026-08-09 20:20:00,Feria de Motos 2026
LD-00106,2026-08-19 09:13:00,Formulario Web,EMP-03,PV-014,Óscar David Mosquera Osorio,3201847304,oscar.mosquera95@gmail.com,Bogota,BAJAJ DISCOVER 125,En proceso,2026-08-19T21:13:00,Agosto Cero Cuotas
LD-00107,06/08/2026 06:28,WhatsApp,EMP-03,PV-012,Wilmar Muñoz Restrepo,3019201020,,Bogota DC,Honda,Contactado,2026-08-08T06:28:00,Retoma tu moto
LD-00108,2026-08-16T02:39:00,WHATSAPP,EMP-02,PV-009,  Camilo Londoño Castaño  ,310-013-6091,camilo.londono18@hotmail.com,Sta Marta,,Contactado,,Retoma tu moto
LD-00109,2026-08-01T07:42:00,WhatsApp,EMP-02,PV-009,Héctor Bedoya Castaño, 3184205775 ,hector.bedoya46@outlook.com,Santa Marta,Suzuki V-Strom 250,Cotización enviada,2026-08-01T13:42:00,
LD-00110,2026-08-15T20:08:00,WhatsApp,EMP-02,PV-009,Paula Andrea Mosquera Bedoya,+57 300 5759614,,Sta Marta,AKT Evo,Cotización enviada,19-08-2026,Feria de Motos 2026
LD-00111,08/08/2026 07:02,WhatsApp,EMP-01,PV-001,ADRIANA GÓMEZ HERRERA,(323) 849-1318,,Medellín ,AKT,Contactado,2026-08-09 13:02:00,Feria de Motos 2026
LD-00112,2026-08-28 08:34:00,META ADS,EMP-03,PV-015,  Sebastián Castaño Herrera  ,573050073889,sebastian.castano87@hotmail.com,SOACHA,HONDA CB 190R,No contesta,,Retoma tu moto
LD-00113,2026-08-20 15:31:00,WhatsApp,EMP-03,PV-012,  Mónica Cardona Correa  ,3229986493,monica.cardona83@outlook.com,BOGOTA,Bajaj Boxer,sin gestion,,
LD-00114,25/08/2026 11:33,WhatsApp,EMP-02,PV-007,  Yesenia Quintero Salazar  ,3000427297,,Soledad,Bajaj Pulsar RS 200,No contesta,26-08-2026,Prima Extra
LD-00115,2026-09-04 13:43:00,META ADS,EMP-01,PV-005,Marcela Ramírez Giraldo,3028382927,marcela.ramirez3@outlook.com,,AKT NKD 125,contactado,06-09-2026,Agosto Cero Cuotas
LD-00116,2026-08-04 20:11:00,WhatsApp,EMP-02,PV-010,Andrés Felipe Giraldo Ospina,320 793 3661,,Montería,Honda  XRE 300,Contactado,2026-08-07T20:11:00,Agosto Cero Cuotas
LD-00117,2026-08-04T21:05:00,WHATSAPP,EMP-03,PV-014,  Kevin Escobar Ramírez  , 3048650087 ,kevin.escobar1@yahoo.es,Bogota DC,Honda CB 190R,Contactado,08/08/2026 21:05,
LD-00118,16/08/2026 23:56,WhatsApp,EMP-01,PV-004,Jhon Jairo Valencia Betancur,3159802019,,Rionegro,SUZUKI V-STROM 250,En proceso,2026-08-18T05:56:00,Remate Modelos 2025
LD-00119,2026-08-29T19:42:00,whatsapp,EMP-02,PV-008,Erika Escobar Valencia,3515963038,,CARTAGENA,Suzuki Gixxer 150,Contactado,2026-08-29 21:42:00,
LD-00120,23/08/2026 09:01,META ADS,EMP-03,PV-014,Yesenia Jiménez Jiménez,3054801941,,Bogota,A.K.T TTR 200,Contactado,26/08/2026 09:01,Remate Modelos 2025
LD-00121,07/09/2026 12:47,META ADS,EMP-03,PV-012,Erika Jiménez Rodríguez,321-747-4328,,Bogotá,Bajaj Pulsar RS 200,Contactado,07/09/2026 18:47,Prima Extra
LD-00122,2026-08-02 11:21:00,Formulario Web,EMP-01,PV-003,Estefanía Castaño Mosquera,320 895 0842,,bello,AKT Evo RS 150,sin gestion,,Feria de Motos 2026
LD-00123,18/08/2026 00:03,Meta Ads,EMP-02,PV-007,Héctor Ospina Betancur,313-329-5133,hector.ospina31@gmail.com,,AKT TTR 200 2026,no contesta,2026-08-22 00:03:00,Retoma tu moto
LD-00124,01/09/2026 10:32,Meta Ads,EMP-01,PV-004,Marcela Correa Hernández,+57 301 6284389,,,Bajaj Pulsar NS 125 2026,En proceso,2026-09-05 10:32:00,
LD-00125,2026-08-26 04:42:00,META ADS,EMP-02,PV-006,  Estefanía Zapata Agudelo  ,318-610-6753,estefania.zapata96@outlook.com,B/quilla,,Descartado,2026-08-26T08:42:00,Prima Extra
LD-00126,2026-08-07 22:57:00,whatsapp,EMP-02,PV-008,Sandra Milena Marín Quintero,3104095289,sandra.marin69@yahoo.es,CARTAGENA,Hero Dash 110 2026,Cotización enviada,2026-08-09 04:57:00,
LD-00127,01/08/2026 11:00,Meta Ads,EMP-01,PV-004,MARÍA FERNANDA CORREA RAMÍREZ,3239575792,,Rio Negro,honda cb 190r,no contesta,08/01/2026 17:00,Retoma tu moto
LD-00128,2026-08-14 14:53:00,Meta Ads,EMP-03,PV-015,VANESSA MARÍN BEDOYA,3055858314,vanessa.marin92@gmail.com,,Dash 110,Contactado,08/15/2026 20:53,
LD-00129,09/02/2026 19:05,WhatsApp,EMP-03,PV-014,Yuliana Restrepo Valencia,3221025546,,bogotá,Honda CB 125F Twister 2026,Descartado,,Prima Extra
LD-00130,10/09/2026 03:15,WhatsApp,EMP-03,PV-014,JULIÁN BEDOYA AGUDELO,304-184-4278,julian.bedoya89@gmail.com,Bogotá D.C.,HERO DASH 110,Descartado,10-09-2026,
LD-00131,2026-08-21 02:38:00,meta ads,EMP-02,PV-008,Marcela Gómez Salazar,350-122-6918,marcela.gomez77@outlook.com,Cartagena,Bajaj Boxer CT 100,Sin gestión,,Agosto Cero Cuotas
LD-00132,2026-08-23 19:55:00,META ADS,EMP-02,PV-007,Cristian Agudelo Arias,3170478484,cristian.agudelo66@yahoo.es,Soledad,Honda XRE 300,Sin gestión,,Remate Modelos 2025
